,RunId,iteration,Step,num_nodes,avg_node_degree,initial_outbreak_size,virus_spread_chance,virus_check_frequency,recovery_chance,gain_resistance_chance,hygiene_rate,Infected,Susceptible,Resistant
189,189,17,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,2,8
190,190,17,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,2,8
191,191,17,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,1,9
192,192,17,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
193,193,17,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,9,1
194,194,17,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,0,10
195,195,17,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,9,1
196,196,17,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,10
197,197,17,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,9,1
198,198,18,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,4,6
199,199,18,70,10,3,1,0.4,0.4,0.3,0.5,0.1,1,0,9
200,200,18,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,1,9
201,201,18,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,0,10
202,202,18,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,5,5
203,203,18,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
204,204,18,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,4,6
205,205,18,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,0,10
206,206,18,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,0,10
207,207,18,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,2,8
208,208,18,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
209,209,19,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
210,210,19,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,4,6
211,211,19,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,3,7
212,212,19,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,2,8
213,213,19,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,5,5
214,214,19,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,4,6
215,215,19,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
216,216,19,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,5,5
217,217,19,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,1,9
218,218,19,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,2,8
219,219,19,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,3,7
220,220,20,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
221,221,20,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,3,7
222,222,20,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,2,8
223,223,20,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,0,10
224,224,20,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,2,8
225,225,20,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,1,9
226,226,20,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,1,9
227,227,20,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
228,228,20,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,0,10
229,229,20,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,10
230,230,20,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,7,3
231,231,21,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,3,7
232,232,21,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,2,8
233,233,21,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,1,9
234,234,21,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,2,8
235,235,21,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,2,8
236,236,21,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
237,237,21,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
238,238,21,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,9,1
239,239,21,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,9,1
240,240,21,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,1,9
241,241,21,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,2,8
242,242,22,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,0,10
243,243,22,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,1,9
244,244,22,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,2,8
245,245,22,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,1,1,8
246,246,22,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,6,4
247,247,22,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
248,248,22,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
249,249,22,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
250,250,22,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,1,9
251,251,22,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,9,1
252,252,22,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
253,253,23,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
254,254,23,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,1,9
